batch_size,frames_per_second
1,
1,
1,1620.0
1,983.9
2,1916.4
4,3906.8
8,7055.3
16,9593.5
32,8560.1
48,7776.6
64,7545.7
80,7403.1
96,7327.9
112,7282.3
128,7191.6
144,7119.4
196,6926.9
256,6762.7
