batch_size,frames_per_second
1,1589.0
2,2977.8
4,3176.0
8,2931.1
16,2569.5
32,2366.9
48,2248.2
64,2144.9
80,2079.4
96,2029.5
112,2009.0
128,1997.0
144,1985.5
196,1962.6
256,1957.5
