batch_size,frames_per_second
1,1870.3
2,3414.2
4,3826.3
8,3587.2
16,3207.0
32,2898.5
48,2797.6
64,2707.2
80,2658.9
96,2627.9
112,2588.3
128,2568.9
144,2595.9
196,2567.8
256,2586.7
