batch_size,frames_per_second
1,2320.4
2,4106.2
4,7700.7
8,9155.1
16,9752.5
32,9130.0
48,8643.7
64,8212.7
80,8036.0
96,7868.9
112,7713.6
128,7615.3
144,7479.4
196,7285.8
256,7194.9
