gpu_id,batch_size,half_mode,frames_per_second
3,2,none,3583.3
3,4,none,4724.4
3,8,none,4324.5
3,16,none,6834.0
3,32,none,6968.5
3,48,none,6104.6
3,64,none,5939.0
3,80,none,5349.5
3,96,none,5259.4
3,112,none,5114.3
3,128,none,4899.6
3,2,tensor,2201.3
3,4,tensor,2365.2
3,8,tensor,4557.9
3,16,tensor,5325.7
3,32,tensor,5834.8
3,48,tensor,5291.3
3,64,tensor,4979.2
3,80,tensor,4554.2
3,96,tensor,4465.2
3,112,tensor,4373.4
3,128,tensor,4279.6
3,2,autocast,2059.4
3,4,autocast,2322.9
3,8,autocast,3490.3
3,16,autocast,5039.6
3,32,autocast,5446.3
3,48,autocast,4927.3
3,64,autocast,4768.5
3,80,autocast,4383.7
3,96,autocast,4258.8
3,112,autocast,4118.6
3,128,autocast,4083.3
