gpu_id,batch_size,half_mode,frames_per_second
0,2,none,1213.6
0,4,none,1289.2
0,8,none,1355.5
0,16,none,1390.2
0,32,none,1402.0
0,48,none,1400.0
0,64,none,1397.6
0,80,none,1393.3
0,96,none,1393.9
0,112,none,1395.8
0,128,none,1385.8
0,2,tensor,1817.9
0,4,tensor,2105.9
0,8,tensor,2239.4
0,16,tensor,2334.0
0,32,tensor,2382.6
0,48,tensor,2390.4
0,64,tensor,2393.6
0,80,tensor,2393.6
0,96,tensor,2393.5
0,112,tensor,2390.8
0,128,tensor,2378.2
0,2,autocast,1552.1
0,4,autocast,1968.0
0,8,autocast,2119.2
0,16,autocast,2216.6
0,32,autocast,2270.9
0,48,autocast,2276.9
0,64,autocast,2283.4
0,80,autocast,2282.6
0,96,autocast,2284.0
0,112,autocast,2274.0
0,128,autocast,2271.8
