batch_size,frames_per_second
1,1764.2
2,3273.9
4,4211.6
8,4934.5
16,5279.1
32,5466.4
48,5495.8
64,5537.9
80,5588.5
96,5601.8
112,5620.6
128,5666.0
144,5673.6
196,5670.3
256,5681.5
