batch_size,frames_per_second
1,1298.8
2,2756.5
4,5444.8
8,10968.7
16,13318.7
32,11517.7
48,11145.9
64,10781.9
80,10106.1
96,9765.0
112,9782.7
128,9651.0
144,9550.9
196,9431.7
256,9275.5
