batch_size,frames_per_second
1,1917.0
2,2766.1
4,2798.0
8,2530.2
16,2204.6
32,2000.7
48,1904.4
64,1835.5
80,1806.7
96,1770.2
112,1756.4
128,1761.1
144,1749.0
196,1741.6
256,1739.6
