batch_size,frames_per_second
1,1898.5
2,3416.8
4,3843.5
8,3578.2
16,3211.4
32,2895.0
48,2756.0
64,2700.9
80,2659.8
96,2636.7
112,2591.6
128,2593.8
144,2576.4
196,2562.5
256,2547.1
