batch_size,frames_per_second
1,2317.3
2,4164.5
4,7560.5
8,9128.0
16,9670.0
32,9095.7
48,8637.1
64,8206.7
80,7971.1
96,7672.1
112,7648.0
128,7583.9
144,7472.9
196,7400.9
256,7223.2
