batch_size,frames_per_second
1,
2,
1,
2,
4,
1,1717.1
2,3412.1
4,6742.6
8,8962.7
16,8060.5
32,8805.4
48,7094.9
64,6865.6
80,6314.4
96,6223.0
112,5479.1
128,5677.0
144,4647.0
196,4399.0
256,4268.9
